Image ID,Label,Path
Tr-gl_1308,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1308.jpg
Tr-gl_1232,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1232.jpg
Tr-gl_0140,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0140.jpg
Tr-gl_0322,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0322.jpg
Tr-gl_0697,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0697.jpg
Tr-gl_1132,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1132.jpg
Tr-gl_0132,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0132.jpg
Tr-gl_0864,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0864.jpg
Tr-gl_0473,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0473.jpg
Tr-gl_0563,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0563.jpg
Tr-gl_0714,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0714.jpg
Tr-gl_1304,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1304.jpg
Tr-gl_0475,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0475.jpg
Tr-gl_0835,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0835.jpg
Tr-gl_0777,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0777.jpg
Tr-gl_0374,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0374.jpg
Tr-gl_0380,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0380.jpg
Tr-gl_0346,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0346.jpg
Tr-gl_1272,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1272.jpg
Tr-gl_0484,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0484.jpg
Tr-gl_0224,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0224.jpg
Tr-gl_0844,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0844.jpg
Tr-gl_1103,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1103.jpg
Tr-gl_0356,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0356.jpg
Tr-gl_1051,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1051.jpg
Tr-gl_0218,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0218.jpg
Tr-gl_0939,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0939.jpg
Tr-gl_0315,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0315.jpg
Tr-gl_0076,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0076.jpg
Tr-gl_0157,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0157.jpg
Tr-gl_0840,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0840.jpg
Tr-gl_0213,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0213.jpg
Tr-gl_1222,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_1222.jpg
Tr-gl_0984,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0984.jpg
Tr-gl_0233,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0233.jpg
Tr-gl_0854,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0854.jpg
Tr-gl_0607,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0607.jpg
Tr-gl_0027,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0027.jpg
Tr-gl_0115,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0115.jpg
Tr-gl_0304,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0304.jpg
Tr-gl_0694,glioma,../../../pre_processed_data/Training/glioma/Tr-gl_0694.jpg
