Image ID,Label,Plane,Width,Height,Path
Tr-gl_1308,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1308.jpg
Tr-gl_1232,glioma,sagittal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1232.jpg
Tr-gl_0140,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0140.jpg
Tr-gl_0322,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0322.jpg
Tr-gl_0697,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0697.jpg
Tr-gl_1132,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1132.jpg
Tr-gl_0132,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0132.jpg
Tr-gl_0864,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0864.jpg
Tr-gl_0473,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0473.jpg
Tr-gl_0563,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0563.jpg
Tr-gl_0714,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0714.jpg
Tr-gl_1304,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1304.jpg
Tr-gl_0475,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0475.jpg
Tr-gl_0835,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0835.jpg
Tr-gl_0777,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0777.jpg
Tr-gl_0374,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0374.jpg
Tr-gl_0380,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0380.jpg
Tr-gl_0346,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0346.jpg
Tr-gl_1272,glioma,sagittal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1272.jpg
Tr-gl_0484,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0484.jpg
Tr-gl_0224,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0224.jpg
Tr-gl_0844,glioma,coronal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0844.jpg
Tr-gl_1103,glioma,sagittal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1103.jpg
Tr-gl_0356,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0356.jpg
Tr-gl_1051,glioma,sagittal,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_1051.jpg
Tr-gl_0218,glioma,axial,256,256,../../../pre_processed_data/Training/glioma/Tr-gl_0218.jpg
