Image ID,Label,Plane,Width,Height,Path
Tr-gl_0954,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_0954.jpg
Tr-gl_0959,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_0959.jpg
Tr-gl_1033,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1033.jpg
Tr-gl_1096,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1096.jpg
Tr-gl_1290,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_1290.jpg
Tr-gl_0042,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0042.jpg
Tr-gl_0806,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0806.jpg
Tr-gl_0888,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_0888.jpg
Tr-gl_0157,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0157.jpg
Tr-gl_0543,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0543.jpg
Tr-gl_0555,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0555.jpg
Tr-gl_0754,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0754.jpg
Tr-gl_1104,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1104.jpg
Tr-gl_1127,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1127.jpg
Tr-gl_0272,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0272.jpg
Tr-gl_0114,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0114.jpg
Tr-gl_0496,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0496.jpg
Tr-gl_0793,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0793.jpg
Tr-gl_1295,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_1295.jpg
Tr-gl_1109,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1109.jpg
Tr-gl_1113,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1113.jpg
Tr-gl_0643,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0643.jpg
Tr-gl_0391,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0391.jpg
Tr-gl_0915,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_0915.jpg
Tr-gl_1034,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1034.jpg
Tr-gl_1008,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1008.jpg
Tr-gl_1087,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1087.jpg
Tr-gl_0227,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0227.jpg
Tr-gl_1082,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1082.jpg
Tr-gl_1231,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1231.jpg
Tr-gl_0757,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0757.jpg
Tr-gl_0180,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0180.jpg
Tr-gl_0692,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0692.jpg
Tr-gl_0620,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0620.jpg
Tr-gl_0781,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0781.jpg
Tr-gl_1205,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_1205.jpg
Tr-gl_0719,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0719.jpg
Tr-gl_0730,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0730.jpg
Tr-gl_0023,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0023.jpg
Tr-gl_0608,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0608.jpg
Tr-gl_0196,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0196.jpg
Tr-gl_0767,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0767.jpg
Tr-gl_0260,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0260.jpg
Tr-gl_0584,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0584.jpg
Tr-gl_0091,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0091.jpg
Tr-gl_0282,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0282.jpg
Tr-gl_0512,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0512.jpg
Tr-gl_0278,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0278.jpg
Tr-gl_0606,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0606.jpg
Tr-gl_1073,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1073.jpg
Tr-gl_1164,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_1164.jpg
Tr-gl_1293,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_1293.jpg
Tr-gl_0851,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0851.jpg
Tr-gl_0188,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0188.jpg
Tr-gl_0433,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0433.jpg
Tr-gl_0790,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0790.jpg
Tr-gl_0158,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0158.jpg
Tr-gl_0842,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0842.jpg
Tr-gl_0981,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_0981.jpg
Tr-gl_1309,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_1309.jpg
Tr-gl_1277,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_1277.jpg
Tr-gl_0465,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0465.jpg
Tr-gl_1179,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_1179.jpg
Tr-gl_0708,glioma,coronal,512,512,../data_original/Training/glioma/Tr-gl_0708.jpg
Tr-gl_0097,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0097.jpg
Tr-gl_0305,glioma,axial,512,512,../data_original/Training/glioma/Tr-gl_0305.jpg
Tr-gl_1088,glioma,sagittal,512,512,../data_original/Training/glioma/Tr-gl_1088.jpg
